customer_id,gender,age,income,signup_date
C1,Female,54,267680,2024-07-05 23:00:00
C2,Male,36,263625,2024-01-10 17:00:00
C3,Male,35,61083,2024-07-07 15:00:00
C4,Female,45,206567,2024-07-14 23:00:00
C5,Male,48,85610,2024-04-16 07:00:00
C6,Female,34,213669,2024-07-16 00:00:00
C7,Female,41,88619,2024-01-26 15:00:00
C8,Male,18,277990,2024-03-21 04:00:00
C9,Male,22,64939,2024-11-02 00:00:00
C10,Female,49,199967,2024-06-12 16:00:00
C11,Female,70,197379,2024-04-07 17:00:00
C12,Male,34,27954,2024-07-22 17:00:00
C13,Male,74,186073,2024-04-25 12:00:00
C14,Female,38,68338,2024-02-08 06:00:00
C15,Male,58,265631,2024-08-04 11:00:00
C16,Female,60,222236,2024-11-17 14:00:00
C17,Female,39,105932,2024-07-21 07:00:00
C18,Male,56,76338,2024-09-17 03:00:00
C19,Male,56,26308,2024-01-12 09:00:00
C20,Female,51,186154,2024-04-07 17:00:00
C21,Male,31,226263,2024-05-08 01:00:00
C22,Male,33,172703,2024-06-05 13:00:00
C23,Male,22,130020,2024-09-21 16:00:00
C24,Male,35,62301,2024-08-25 02:00:00
C25,Male,21,105854,2024-07-18 16:00:00
C26,Female,61,88237,2024-10-01 13:00:00
C27,Male,68,93023,2024-04-30 08:00:00
C28,Male,45,229605,2024-04-23 06:00:00
C29,Male,62,265170,2024-07-01 16:00:00
C30,Female,44,144159,2024-04-03 07:00:00
C31,Female,23,188551,2024-06-30 17:00:00
C32,Female,28,54692,2024-06-09 04:00:00
C33,Male,64,144737,2024-09-23 02:00:00
C34,Female,38,109541,2024-07-17 21:00:00
C35,Male,34,91559,2024-07-18 00:00:00
C36,Male,48,252278,2024-07-23 19:00:00
C37,Female,51,144819,2024-08-19 15:00:00
C38,Female,30,103165,2024-03-09 01:00:00
C39,Female,40,94167,2024-07-14 01:00:00
C40,Female,74,197431,2024-12-10 13:00:00
C41,Male,18,280069,2024-06-05 01:00:00
C42,Female,21,209694,2024-04-24 10:00:00
C43,Male,47,249672,2024-05-16 21:00:00
C44,Female,48,104868,2024-05-15 10:00:00
C45,Female,64,93663,2024-11-29 05:00:00
C46,Female,33,240913,2024-10-26 20:00:00
C47,Male,60,103014,2024-04-20 12:00:00
C48,Female,20,36399,2024-09-30 19:00:00
C49,Male,29,142930,2024-07-24 05:00:00
C50,Male,29,118015,2024-03-14 12:00:00
C51,Male,28,242787,2024-08-04 03:00:00
C52,Male,33,99027,2024-08-20 13:00:00
C53,Male,46,120296,2024-02-01 20:00:00
C54,Male,70,222430,2024-10-01 21:00:00
C55,Male,38,70083,2024-06-20 08:00:00
C56,Male,62,173900,2024-10-22 08:00:00
C57,Male,61,256794,2024-06-25 23:00:00
C58,Female,59,294949,2024-12-26 12:00:00
C59,Female,60,255781,2024-11-07 21:00:00
C60,Female,67,164677,2024-08-04 13:00:00
C61,Male,22,225244,2024-07-12 02:00:00
C62,Male,69,30573,2024-12-19 15:00:00
C63,Female,30,97769,2024-09-29 15:00:00
C64,Female,34,262160,2024-07-07 21:00:00
C65,Male,29,130150,2024-02-29 06:00:00
C66,Female,34,154675,2024-10-27 11:00:00
C67,Male,18,242666,2024-05-23 11:00:00
C68,Female,25,264726,2024-12-30 14:00:00
C69,Male,33,128607,2024-04-15 12:00:00
C70,Male,32,233796,2024-02-16 03:00:00
C71,Male,36,241035,2024-07-17 09:00:00
C72,Male,42,274883,2024-09-09 12:00:00
C73,Female,48,165164,2024-01-05 09:00:00
C74,Male,59,126520,2024-06-02 06:00:00
C75,Male,19,106315,2024-12-04 23:00:00
C76,Female,74,159337,2024-02-02 22:00:00
C77,Female,42,66195,2024-07-25 01:00:00
C78,Female,48,278199,2024-12-14 09:00:00
C79,Male,21,297060,2024-10-15 11:00:00
