product_id,store_id,date,opening_stock,stock_received,stock_sold,closing_stock
P290,ST10,2024-04-14,480,291,128,643
P214,ST36,2024-04-27,373,299,150,522
P703,ST46,2024-09-11,489,26,94,421
P870,ST8,2024-08-30,479,135,156,458
P613,ST33,2024-02-01,315,126,4,437
P707,ST29,2024-04-16,447,278,32,693
P155,ST34,2024-04-06,31,72,92,11
P7,ST27,2024-10-30,399,30,6,423
P483,ST42,2024-09-10,364,8,265,107
P123,ST4,2024-07-05,485,198,248,435
P791,ST49,2024-10-02,364,143,72,435
P450,ST48,2024-04-14,299,201,144,356
P127,ST5,2024-12-22,214,173,227,160
P728,ST42,2024-10-19,345,216,133,428
P386,ST11,2024-02-09,121,232,54,299
P242,ST1,2024-04-28,324,285,266,343
P676,ST13,2024-02-25,188,210,251,147
P826,ST20,2024-09-26,326,158,166,318
P977,ST34,2024-06-12,161,29,200,-10
P523,ST33,2024-07-22,241,289,143,387
P775,ST14,2024-12-11,457,219,52,624
P834,ST12,2024-02-03,119,274,90,303
P975,ST11,2024-01-06,85,5,260,-170
P878,ST1,2024-02-15,276,144,263,157
P287,ST46,2024-07-23,402,100,2,500
P558,ST8,2024-04-28,51,90,26,115
P326,ST18,2024-12-20,119,163,49,233
P766,ST5,2024-03-23,425,0,55,370
P229,ST31,2024-05-30,38,143,147,34
P821,ST3,2024-04-23,300,46,96,250
P861,ST22,2024-03-04,344,22,115,251
P68,ST6,2024-04-05,396,223,121,498
P558,ST24,2024-06-20,170,194,49,315
P805,ST27,2024-01-11,338,84,105,317
P332,ST21,2024-03-08,373,66,282,157
P155,ST37,2024-11-12,198,298,17,479
P793,ST34,2024-03-16,478,97,126,449
P509,ST35,2024-02-25,193,171,31,333
P12,ST36,2024-06-27,107,231,6,332
P188,ST26,2024-03-03,428,25,179,274
P17,ST1,2024-08-18,131,194,242,83
P946,ST48,2024-10-12,384,159,39,504
P972,ST19,2024-01-10,243,42,222,63
P640,ST26,2024-01-01,110,111,49,172
P351,ST23,2024-02-17,383,234,89,528
P631,ST40,2024-06-04,59,240,237,62
P9,ST34,2024-06-20,305,117,197,225
P211,ST27,2024-08-24,342,136,242,236
P630,ST3,2024-04-26,302,47,267,82
P29,ST46,2024-11-18,16,240,187,69
