sales_id,date,store_id,product_id,unit_price,quantity_sold,discount,payment_method
S0,2024-01-01 00:00:00,ST39,P42,233,5,0.0,Cash
S1,2024-01-01 01:00:00,ST29,P676,243,3,0.15,Bank
S2,2024-01-01 02:00:00,ST15,P873,511,9,0.1,Bank
S3,2024-01-01 03:00:00,ST43,P283,105,3,0.15,Cash
S4,2024-01-01 04:00:00,ST8,P58,279,2,0.15,Bank
S5,2024-01-01 05:00:00,ST21,P814,538,5,0.1,Bank
S6,2024-01-01 06:00:00,ST39,P834,77,9,0.1,Cash
S7,2024-01-01 07:00:00,ST19,P537,881,8,0.05,Bank
S8,2024-01-01 08:00:00,ST23,P73,632,6,0.05,Bank
S9,2024-01-01 09:00:00,ST11,P885,771,3,0.1,Cash
S10,2024-01-01 10:00:00,ST11,P923,233,6,0.15,Card
S11,2024-01-01 11:00:00,ST24,P129,474,5,0.1,Card
S12,2024-01-01 12:00:00,ST36,P599,424,1,0.0,Bank
S13,2024-01-01 13:00:00,ST40,P842,917,5,0.05,M-Pesa
S14,2024-01-01 14:00:00,ST24,P426,90,7,0.0,M-Pesa
S15,2024-01-01 15:00:00,ST3,P948,533,9,0.15,Cash
S16,2024-01-01 16:00:00,ST22,P665,309,1,0.0,Cash
S17,2024-01-01 17:00:00,ST2,P694,490,3,0.1,Card
S18,2024-01-01 18:00:00,ST24,P125,975,8,0.1,M-Pesa
S19,2024-01-01 19:00:00,ST44,P67,905,6,0.1,Cash
S20,2024-01-01 20:00:00,ST30,P6,133,5,0.0,M-Pesa
S21,2024-01-01 21:00:00,ST38,P637,95,2,0.0,M-Pesa
S22,2024-01-01 22:00:00,ST2,P314,489,3,0.0,Bank
S23,2024-01-01 23:00:00,ST21,P326,720,2,0.1,Bank
S24,2024-01-02 00:00:00,ST33,P565,905,1,0.1,M-Pesa
S25,2024-01-02 01:00:00,ST12,P578,568,7,0.1,Card
S26,2024-01-02 02:00:00,ST22,P826,894,3,0.0,Cash
S27,2024-01-02 03:00:00,ST44,P506,487,7,0.0,Cash
S28,2024-01-02 04:00:00,ST25,P82,185,7,0.15,Card
S29,2024-01-02 05:00:00,ST49,P599,232,8,0.05,Bank
S30,2024-01-02 06:00:00,ST27,P2,758,1,0.1,Bank
S31,2024-01-02 07:00:00,ST42,P204,221,5,0.0,Card
S32,2024-01-02 08:00:00,ST28,P662,958,9,0.05,Card
S33,2024-01-02 09:00:00,ST16,P805,910,7,0.0,Bank
S34,2024-01-02 10:00:00,ST15,P404,837,1,0.0,M-Pesa
S35,2024-01-02 11:00:00,ST47,P103,639,8,0.1,Bank
S36,2024-01-02 12:00:00,ST44,P536,977,3,0.05,M-Pesa
S37,2024-01-02 13:00:00,ST3,P368,739,4,0.0,Cash
S38,2024-01-02 14:00:00,ST37,P212,588,4,0.05,Cash
S39,2024-01-02 15:00:00,ST7,P577,169,8,0.05,M-Pesa
S40,2024-01-02 16:00:00,ST21,P961,330,1,0.1,M-Pesa
S41,2024-01-02 17:00:00,ST9,P209,357,8,0.05,Bank
S42,2024-01-02 18:00:00,ST39,P763,757,9,0.15,Card
S43,2024-01-02 19:00:00,ST18,P897,326,9,0.15,M-Pesa
S44,2024-01-02 20:00:00,ST4,P117,579,5,0.1,Cash
S45,2024-01-02 21:00:00,ST25,P628,344,4,0.1,Bank
S46,2024-01-02 22:00:00,ST14,P749,832,4,0.15,Cash
S47,2024-01-02 23:00:00,ST50,P478,102,9,0.1,Bank
S48,2024-01-03 00:00:00,ST9,P105,855,8,0.05,Card
S49,2024-01-03 01:00:00,ST26,P495,481,7,0.0,Card
S50,2024-01-03 02:00:00,ST2,P771,101,3,0.1,Cash
S51,2024-01-03 03:00:00,ST20,P46,777,4,0.15,M-Pesa
S52,2024-01-03 04:00:00,ST28,P823,121,9,0.0,M-Pesa
S53,2024-01-03 05:00:00,ST47,P331,77,8,0.05,Cash
S54,2024-01-03 06:00:00,ST7,P216,518,1,0.0,M-Pesa
S55,2024-01-03 07:00:00,ST44,P982,961,3,0.15,M-Pesa
S56,2024-01-03 08:00:00,ST8,P960,813,2,0.0,Cash
S57,2024-01-03 09:00:00,ST47,P492,935,2,0.15,Cash
S58,2024-01-03 10:00:00,ST35,P813,961,8,0.1,Card
S59,2024-01-03 11:00:00,ST14,P922,596,6,0.1,Cash
S60,2024-01-03 12:00:00,ST17,P845,450,6,0.15,Card
S61,2024-01-03 13:00:00,ST36,P449,250,4,0.1,Card
S62,2024-01-03 14:00:00,ST50,P536,810,1,0.05,Bank
S63,2024-01-03 15:00:00,ST40,P511,660,7,0.0,M-Pesa
S64,2024-01-03 16:00:00,ST4,P458,869,8,0.15,Cash
S65,2024-01-03 17:00:00,ST2,P547,515,2,0.15,M-Pesa
S66,2024-01-03 18:00:00,ST6,P536,701,2,0.15,Bank
S67,2024-01-03 19:00:00,ST42,P540,644,1,0.05,Cash
S68,2024-01-03 20:00:00,ST4,P484,609,4,0.05,Cash
S69,2024-01-03 21:00:00,ST29,P976,839,6,0.05,Bank
S70,2024-01-03 22:00:00,ST18,P1000,428,5,0.15,M-Pesa
S71,2024-01-03 23:00:00,ST26,P16,809,4,0.05,Card
S72,2024-01-04 00:00:00,ST44,P571,944,4,0.1,Bank
S73,2024-01-04 01:00:00,ST34,P977,226,7,0.0,Bank
S74,2024-01-04 02:00:00,ST10,P243,101,7,0.1,Cash
S75,2024-01-04 03:00:00,ST36,P950,128,2,0.1,Card
S76,2024-01-04 04:00:00,ST14,P207,434,7,0.05,Bank
S77,2024-01-04 05:00:00,ST31,P912,883,2,0.15,M-Pesa
S78,2024-01-04 06:00:00,ST48,P271,625,4,0.1,Bank
S79,2024-01-04 07:00:00,ST15,P761,57,1,0.0,M-Pesa
S80,2024-01-04 08:00:00,ST8,P994,263,5,0.05,Cash
S81,2024-01-04 09:00:00,ST14,P779,74,1,0.1,Bank
S82,2024-01-04 10:00:00,ST23,P705,499,4,0.05,M-Pesa
S83,2024-01-04 11:00:00,ST40,P847,817,9,0.0,Cash
S84,2024-01-04 12:00:00,ST21,P730,804,8,0.05,Cash
S85,2024-01-04 13:00:00,ST16,P115,506,6,0.15,Cash
S86,2024-01-04 14:00:00,ST45,P580,510,8,0.1,Bank
S87,2024-01-04 15:00:00,ST18,P299,247,5,0.1,Cash
S88,2024-01-04 16:00:00,ST47,P837,143,7,0.15,Cash
S89,2024-01-04 17:00:00,ST24,P483,768,8,0.0,M-Pesa
S90,2024-01-04 18:00:00,ST26,P397,996,7,0.0,Cash
S91,2024-01-04 19:00:00,ST25,P394,486,4,0.05,Bank
S92,2024-01-04 20:00:00,ST45,P75,576,5,0.1,Card
S93,2024-01-04 21:00:00,ST41,P978,739,6,0.0,Cash
S94,2024-01-04 22:00:00,ST29,P482,427,6,0.15,Bank
S95,2024-01-04 23:00:00,ST15,P103,636,9,0.15,Cash
S96,2024-01-05 00:00:00,ST45,P297,153,2,0.15,Bank
S97,2024-01-05 01:00:00,ST1,P178,855,6,0.0,Cash
S98,2024-01-05 02:00:00,ST25,P215,729,3,0.15,M-Pesa
S99,2024-01-05 03:00:00,ST7,P967,676,2,0.1,Card
S100,2024-01-05 04:00:00,ST9,P315,88,6,0.0,Card
S101,2024-01-05 05:00:00,ST24,P39,507,4,0.0,Bank
S102,2024-01-05 06:00:00,ST1,P259,413,5,0.1,Bank
S103,2024-01-05 07:00:00,ST44,P716,834,5,0.15,Card
S104,2024-01-05 08:00:00,ST8,P7,184,3,0.0,M-Pesa
S105,2024-01-05 09:00:00,ST24,P49,423,4,0.1,M-Pesa
S106,2024-01-05 10:00:00,ST11,P538,281,3,0.1,Cash
S107,2024-01-05 11:00:00,ST17,P161,88,7,0.05,M-Pesa
S108,2024-01-05 12:00:00,ST8,P869,852,1,0.15,Card
S109,2024-01-05 13:00:00,ST35,P176,868,6,0.15,Card
S110,2024-01-05 14:00:00,ST35,P591,96,4,0.1,M-Pesa
S111,2024-01-05 15:00:00,ST33,P2,85,1,0.0,M-Pesa
S112,2024-01-05 16:00:00,ST5,P895,881,1,0.05,Card
S113,2024-01-05 17:00:00,ST42,P455,144,5,0.05,Card
S114,2024-01-05 18:00:00,ST39,P928,410,5,0.0,Card
S115,2024-01-05 19:00:00,ST41,P644,574,7,0.05,Card
S116,2024-01-05 20:00:00,ST28,P276,195,4,0.0,Card
S117,2024-01-05 21:00:00,ST7,P498,966,9,0.05,M-Pesa
S118,2024-01-05 22:00:00,ST9,P629,417,4,0.0,M-Pesa
S119,2024-01-05 23:00:00,ST8,P676,114,7,0.1,Cash
S120,2024-01-06 00:00:00,ST12,P800,277,5,0.1,Cash
S121,2024-01-06 01:00:00,ST34,P28,803,5,0.05,Bank
S122,2024-01-06 02:00:00,ST33,P333,569,6,0.05,Cash
S123,2024-01-06 03:00:00,ST48,P1,865,8,0.1,M-Pesa
S124,2024-01-06 04:00:00,ST23,P188,902,5,0.15,Cash
S125,2024-01-06 05:00:00,ST24,P56,604,3,0.0,Cash
S126,2024-01-06 06:00:00,ST37,P547,805,6,0.15,M-Pesa
S127,2024-01-06 07:00:00,ST35,P112,230,2,0.05,Card
S128,2024-01-06 08:00:00,ST44,P798,550,8,0.1,M-Pesa
S129,2024-01-06 09:00:00,ST40,P310,646,8,0.05,M-Pesa
S130,2024-01-06 10:00:00,ST22,P36,204,3,0.15,Bank
S131,2024-01-06 11:00:00,ST27,P439,836,8,0.1,Bank
S132,2024-01-06 12:00:00,ST35,P729,584,9,0.1,Bank
S133,2024-01-06 13:00:00,ST1,P592,676,5,0.1,Card
S134,2024-01-06 14:00:00,ST35,P826,867,5,0.0,Cash
S135,2024-01-06 15:00:00,ST37,P595,484,6,0.05,Bank
S136,2024-01-06 16:00:00,ST47,P577,860,7,0.15,M-Pesa
S137,2024-01-06 17:00:00,ST14,P325,148,3,0.0,Bank
