delivery_id,supplier_id,product_id,qty_ordered,qty_delivered,delivery_date,delay_days
D1,SUP405,P956,115,47,2024-11-13,7
D2,SUP289,P914,126,40,2024-12-26,-1
D3,SUP361,P561,108,306,2024-05-08,8
D4,SUP365,P93,299,163,2024-06-27,0
D5,SUP255,P341,265,483,2024-04-22,-2
D6,SUP55,P910,456,304,2024-10-19,8
D7,SUP321,P784,136,371,2024-09-01,9
D8,SUP313,P154,88,57,2024-11-02,3
D9,SUP326,P117,147,411,2024-02-22,5
D10,SUP142,P223,142,225,2024-01-01,7
D11,SUP220,P307,210,143,2024-09-14,9
D12,SUP25,P505,99,476,2024-05-09,9
D13,SUP128,P587,395,115,2024-02-27,9
D14,SUP423,P352,194,476,2024-01-17,5
D15,SUP279,P858,125,118,2024-08-01,1
D16,SUP171,P319,215,215,2024-07-26,1
D17,SUP359,P929,302,22,2024-07-23,9
D18,SUP184,P60,234,464,2024-01-07,7
D19,SUP145,P677,55,195,2024-11-13,9
D20,SUP159,P907,456,342,2024-01-21,9
D21,SUP52,P660,100,85,2024-09-05,-2
D22,SUP284,P717,123,293,2024-03-04,3
D23,SUP135,P418,179,26,2024-02-12,1
D24,SUP377,P700,281,157,2024-12-08,6
D25,SUP18,P865,470,373,2024-06-29,-1
D26,SUP208,P314,456,63,2024-06-17,5
D27,SUP134,P683,53,149,2024-10-08,4
D28,SUP450,P196,405,197,2024-08-09,5
D29,SUP404,P566,145,346,2024-04-11,-1
D30,SUP125,P456,160,277,2024-10-08,7
D31,SUP343,P114,446,332,2024-09-08,9
D32,SUP2,P444,214,62,2024-03-10,6
D33,SUP153,P779,448,407,2024-03-07,1
D34,SUP367,P194,357,177,2024-04-24,-2
D35,SUP390,P22,390,224,2024-08-04,3
D36,SUP427,P4,255,413,2024-08-20,1
D37,SUP232,P42,349,85,2024-07-25,-1
D38,SUP157,P473,55,390,2024-09-07,-2
D39,SUP9,P564,72,441,2024-11-10,3
D40,SUP457,P556,472,456,2024-01-21,5
D41,SUP142,P254,426,159,2024-02-11,0
D42,SUP429,P882,432,418,2024-03-10,9
D43,SUP271,P911,222,208,2024-01-23,7
D44,SUP174,P588,68,149,2024-11-04,5
D45,SUP336,P865,111,409,2024-09-10,6
D46,SUP368,P416,336,479,2024-06-03,-1
D47,SUP371,P70,400,476,2024-07-25,1
D48,SUP301,P107,369,36,2024-07-18,3
D49,SUP192,P257,68,163,2024-10-07,4
D50,SUP300,P486,256,173,2024-06-19,1
D51,SUP9,P616,465,361,2024-06-24,1
D52,SUP348,P230,135,137,2024-11-12,4
D53,SUP324,P532,301,470,2024-02-04,4
D54,SUP488,P748,223,388,2024-01-21,4
D55,SUP140,P114,266,202,2024-01-18,2
D56,SUP379,P325,54,60,2024-12-12,1
D57,SUP214,P549,71,139,2024-10-22,3
D58,SUP385,P360,424,19,2024-03-14,4
D59,SUP428,P179,82,393,2024-06-29,7
D60,SUP168,P2,228,153,2024-09-17,6
D61,SUP380,P590,319,267,2024-04-29,2
D62,SUP388,P401,218,105,2024-07-02,3
D63,SUP298,P562,422,472,2024-06-16,2
D64,SUP161,P722,259,135,2024-09-13,2
D65,SUP212,P145,271,371,2024-04-21,0
D66,SUP99,P616,365,275,2024-11-09,-2
D67,SUP367,P415,81,457,2024-03-21,-1
D68,SUP130,P56,196,472,2024-04-01,4
D69,SUP394,P874,396,239,2024-10-08,8
D70,SUP72,P799,310,46,2024-10-02,9
D71,SUP398,P804,174,349,2024-12-04,1
D72,SUP317,P787,315,203,2024-05-21,8
D73,SUP283,P317,92,7,2024-08-29,7
D74,SUP77,P416,440,470,2024-05-01,0
D75,SUP333,P337,492,80,2024-06-01,9
D76,SUP182,P344,444,131,2024-06-12,1
D77,SUP29,P237,257,192,2024-06-04,5
D78,SUP264,P488,290,292,2024-01-08,4
D79,SUP216,P644,291,179,2024-10-31,5
D80,SUP453,P325,387,486,2024-08-12,-2
D81,SUP476,P500,269,263,2024-09-18,-2
D82,SUP66,P885,347,416,2024-08-04,9
D83,SUP469,P815,76,100,2024-09-13,1
D84,SUP102,P511,437,126,2024-05-05,6
D85,SUP475,P635,165,121,2024-12-15,3
D86,SUP200,P500,450,486,2024-05-12,-1
D87,SUP76,P41,499,418,2024-03-13,1
D88,SUP458,P385,335,152,2024-12-09,1
D89,SUP178,P602,291,190,2024-06-17,6
D90,SUP199,P426,252,348,2024-03-12,2
D91,SUP425,P707,210,295,2024-12-23,3
D92,SUP138,P535,102,317,2024-07-31,0
D93,SUP477,P269,272,155,2024-05-26,6
D94,SUP409,P726,353,52,2024-01-03,1
D95,SUP282,P735,198,354,2024-10-21,6
D96,SUP116,P317,342,306,2024-01-16,1
D97,SUP410,P328,397,495,2024-03-05,-1
D98,SUP454,P414,375,66,2024-11-25,3
D99,SUP342,P174,94,321,2024-07-16,5
D100,SUP359,P972,92,335,2024-11-20,2
D101,SUP140,P86,312,381,2024-09-29,-1
D102,SUP442,P299,218,240,2024-10-03,-2
D103,SUP455,P15,378,238,2024-12-14,2
D104,SUP410,P542,395,237,2024-11-13,1
D105,SUP269,P444,290,251,2024-05-10,7
D106,SUP82,P920,376,352,2024-10-20,6
D107,SUP197,P113,234,440,2024-04-01,1
D108,SUP31,P639,411,262,2024-07-11,9
D109,SUP273,P25,428,278,2024-11-27,4
D110,SUP399,P821,77,121,2024-05-23,9
D111,SUP482,P954,278,94,2024-12-10,9
D112,SUP22,P514,307,427,2024-12-03,3
D113,SUP197,P65,491,61,2024-05-15,-1
D114,SUP272,P852,434,337,2024-11-21,1
D115,SUP380,P941,264,467,2024-08-09,0
D116,SUP161,P172,350,391,2024-03-24,9
D117,SUP297,P154,221,93,2024-07-28,9
